SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SIMPLEXINF,EQ,2021-07-22,49.75,50.0,50.8,48.35,48.85,48.8,49.02,157073,77.0,1137,93090,59.27
SINTERCOM,EQ,2021-07-22,76.75,79.05,79.9,76.5,77.0,77.1,77.63,56370,43.76,305,52049,92.33
SINTEX,EQ,2021-07-22,4.75,4.8,4.85,4.6,4.6,4.6,4.67,2463628,114.97,1995,1544692,62.70
SIRCA,EQ,2021-07-22,348.5,351.1,357.45,349.55,352.45,352.05,353.63,74048,261.86,2005,46380,62.64
SIS,EQ,2021-07-22,482.25,486.8,506.0,486.3,500.0,497.95,498.57,285738,1424.61,10121,108223,37.87
SITINET,EQ,2021-07-22,1.6,1.65,1.65,1.6,1.65,1.65,1.65,5014210,82.68,850,3424642,68.30
SIYSIL,EQ,2021-07-22,406.9,409.35,416.35,397.65,400.55,400.5,407.4,65177,265.53,3620,32013,49.12
SJVN,EQ,2021-07-22,27.4,27.55,27.65,27.3,27.4,27.35,27.39,1666503,456.49,4390,1267535,76.06
SKFINDIA,EQ,2021-07-22,2535.3,2589.0,2939.0,2555.6,2726.0,2725.6,2744.04,195482,5364.11,28442,62611,32.03
SKIL,EQ,2021-07-22,3.35,3.35,3.45,3.25,3.35,3.35,3.38,328603,11.1,232,271284,82.56
SKIPPER,EQ,2021-07-22,88.85,90.0,98.35,90.0,94.95,94.45,95.63,3374911,3227.33,25583,1475442,43.72
SKMEGGPROD,EQ,2021-07-22,87.9,88.1,89.7,87.2,88.4,88.0,88.25,136689,120.63,2659,54512,39.88
SMARTLINK,EQ,2021-07-22,117.55,119.05,123.9,118.15,119.0,119.55,120.96,65815,79.61,2756,26949,40.95
SMCGLOBAL,EQ,2021-07-22,99.0,101.2,102.65,96.65,97.6,97.5,99.71,1197980,1194.45,8984,512590,42.79
SMLISUZU,EQ,2021-07-22,572.65,575.55,606.0,575.55,586.0,586.3,593.21,80193,475.72,4178,32320,40.30
SMSLIFE,EQ,2021-07-22,725.65,725.65,741.9,723.55,726.3,727.5,731.55,6066,44.38,615,3474,57.27
SMSPHARMA,EQ,2021-07-22,187.65,189.15,196.9,189.15,190.55,190.8,193.24,486078,939.32,9912,143978,29.62
SNOWMAN,EQ,2021-07-22,50.95,51.25,52.3,51.1,51.45,51.5,51.63,1607348,829.88,7283,474988,29.55
SOBHA,EQ,2021-07-22,608.15,611.4,619.85,595.55,602.55,602.25,606.55,376238,2282.08,14671,166369,44.22
