MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NP,ECLFINANCE,SEC RED NCD 10.40% SR. IV,      1000.00,      1002.01,      1002.01,      1002.01,      1002.01,                     1002.01,1, ,1,      1050.00,       801.05
N,NP,SREIBNPNCD,UNS RED NCD 9.30% SR. II,       370.00,       369.00,       380.00,       369.00,       380.00,                    14175.00,38, ,3,       890.00,       256.20
N,NQ,ECLFINANCE,SEC RED NCD SR. V,      1215.00,      1200.00,      1200.00,      1200.00,      1200.00,                     1200.00,1, ,1,      1244.00,       761.00
N,NQ,L&TFINANCE,SERENCD 8.66% SR.IV OPII,      1088.99,      1075.00,      1075.00,      1075.00,      1075.00,                     2150.00,2, ,1,      1265.00,       962.41
N,NR,DHFL,SEC RED NCD 8.90% SR. II,       352.00,       355.00,       355.00,       355.00,       355.00,                     8875.00,25, ,1,       355.00,       217.80
N,NR,ECLFINANCE,SEC RED NCD 10.15% SR. VI,      1000.00,      1010.00,      1010.00,       996.05,       996.30,                   706761.08,707, ,23,      1020.00,       860.00
N,NS,DHFL,SEC RED NCD 9.00% SR. II,       334.53,       321.80,       349.97,       321.80,       345.00,                   224163.40,653, ,13,       370.00,       200.00
N,NS,ECLFINANCE,SEC RED NCD 10.6% SR. VII,       985.00,       980.55,       988.00,       980.00,       987.42,                   545095.83,554, ,16,      1098.00,       726.10
N,NU,DHFL,SEC RED NCD 9.00% SR. III,       334.99,       330.00,       330.00,       330.00,       330.00,                    99000.00,300, ,1,       350.00,       219.80
N,NU,L&TFINANCE,SERENCD 9.05% SR.VI OPII,      1144.00,      1130.00,      1140.00,      1130.00,      1140.00,                   312750.00,275, ,3,      1210.00,       942.40
N,NX,DHFL,SEC RED NCD 9.10% SR. IV,       322.01,       322.06,       349.98,       322.05,       345.80,                   126062.10,381, ,10,       390.00,       170.00
N,NY,SREIBNPNCD,SEC RED NCD 10.00% SR. VI,       452.44,       460.00,       498.00,       460.00,       475.00,                    18993.00,39, ,7,       999.00,       330.00
